Timestamp(s),V_Pack(V),Current(A),Power(W),Energy_Rem(kWh),Total_Energy(kWh),SOC_EKF(%),SOC_CC(%),V_Cell_1(V),T_Cell_1,T_Cell_Q1,T_Cell_Mid,T_Cell_Last,Fault_Status
44.0000,3.2025,185.0000,592.4680,0.2000,0.2268,88.2651,88.2108,3.2025,27.6670,27.6670,27.6670,27.6670,NOMINAL
44.5000,3.1939,185.0000,590.8663,0.1999,0.2268,88.2285,88.1751,3.1939,27.9558,27.9558,27.9558,27.9558,NOMINAL
45.0000,3.1857,185.0000,589.3575,0.1999,0.2268,88.1918,88.1394,3.1857,28.2434,28.2434,28.2434,28.2434,NOMINAL
45.5000,3.1780,185.0000,587.9363,0.1998,0.2268,88.1551,88.1037,3.1780,28.5300,28.5300,28.5300,28.5300,NOMINAL
46.0000,3.1708,185.0000,586.5975,0.1997,0.2268,88.1185,88.0680,3.1708,28.8153,28.8153,28.8153,28.8153,NOMINAL
46.5000,3.1640,185.0000,585.3366,0.1996,0.2268,88.0819,88.0324,3.1640,29.0995,29.0995,29.0995,29.0995,NOMINAL
47.0000,3.1576,185.0000,584.1490,0.1995,0.2268,88.0453,87.9967,3.1576,29.3826,29.3826,29.3826,29.3826,NOMINAL
47.5000,3.1515,185.0000,583.0304,0.1995,0.2268,88.0087,87.9610,3.1515,29.6646,29.6646,29.6646,29.6646,NOMINAL
48.0000,3.1458,185.0000,581.9769,0.1994,0.2268,87.9722,87.9253,3.1458,29.9454,29.9454,29.9454,29.9454,NOMINAL
48.5000,3.1405,185.0000,580.9847,0.1993,0.2268,87.9356,87.8896,3.1405,30.2251,30.2251,30.2251,30.2251,NOMINAL
49.0000,3.1354,185.0000,580.0503,0.1992,0.2268,87.8991,87.8539,3.1354,30.5037,30.5037,30.5037,30.5037,NOMINAL
49.5000,3.1307,185.0000,579.1703,0.1991,0.2268,87.8626,87.8182,3.1307,30.7811,30.7811,30.7811,30.7811,NOMINAL
50.0000,3.1262,185.0000,578.3416,0.1991,0.2268,87.8261,87.7825,3.1262,31.0575,31.0575,31.0575,31.0575,NOMINAL
50.5000,3.1220,185.0000,577.5611,0.1990,0.2268,87.7896,87.7469,3.1220,31.3327,31.3327,31.3327,31.3327,NOMINAL
51.0000,3.1180,185.0000,576.8261,0.1989,0.2268,87.7531,87.7112,3.1180,31.6069,31.6069,31.6069,31.6069,NOMINAL
51.5000,3.1142,185.0000,576.1338,0.1988,0.2268,87.7167,87.6755,3.1142,31.8800,31.8800,31.8800,31.8800,NOMINAL
52.0000,3.1107,185.0000,575.4818,0.1987,0.2268,87.6802,87.6398,3.1107,32.1519,32.1519,32.1519,32.1519,NOMINAL
52.5000,3.1074,185.0000,574.8677,0.1986,0.2268,87.6438,87.6041,3.1074,32.4228,32.4228,32.4228,32.4228,NOMINAL
53.0000,3.1043,185.0000,574.2894,0.1986,0.2268,87.6074,87.5684,3.1043,32.6926,32.6926,32.6926,32.6926,NOMINAL
53.5000,3.1013,185.0000,573.7446,0.1985,0.2268,87.5710,87.5327,3.1013,32.9613,32.9613,32.9613,32.9613,NOMINAL
54.0000,3.0985,185.0000,573.2314,0.1984,0.2268,87.5346,87.4971,3.0985,33.2290,33.2290,33.2290,33.2290,NOMINAL
54.5000,3.0959,185.0000,572.7479,0.1983,0.2268,87.4983,87.4614,3.0959,33.4955,33.4955,33.4955,33.4955,NOMINAL
55.0000,3.0935,185.0000,572.2924,0.1982,0.2268,87.4619,87.4257,3.0935,33.7611,33.7611,33.7611,33.7611,NOMINAL
55.5000,3.0912,185.0000,571.8632,0.1982,0.2268,87.4256,87.3900,3.0912,34.0255,34.0255,34.0255,34.0255,NOMINAL
56.0000,3.0890,185.0000,571.4588,0.1981,0.2268,87.3892,87.3543,3.0890,34.2889,34.2889,34.2889,34.2889,NOMINAL
56.5000,3.0869,185.0000,571.0777,0.1980,0.2268,87.3529,87.3186,3.0869,34.5512,34.5512,34.5512,34.5512,NOMINAL
57.0000,3.0850,185.0000,570.7184,0.1979,0.2268,87.3166,87.2829,3.0850,34.8125,34.8125,34.8125,34.8125,NOMINAL
57.5000,3.0831,185.0000,570.3797,0.1978,0.2268,87.2803,87.2472,3.0831,35.0728,35.0728,35.0728,35.0728,NOMINAL
58.0000,3.0814,185.0000,570.0603,0.1978,0.2268,87.2440,87.2116,3.0814,35.3320,35.3320,35.3320,35.3320,NOMINAL
58.5000,3.0798,185.0000,569.7591,0.1977,0.2268,87.2077,87.1759,3.0798,35.5901,35.5901,35.5901,35.5901,NOMINAL
59.0000,3.0782,185.0000,569.4750,0.1976,0.2268,87.1714,87.1402,3.0782,35.8473,35.8473,35.8473,35.8473,NOMINAL
59.5000,3.0768,185.0000,569.2070,0.1975,0.2268,87.1352,87.1045,3.0768,36.1034,36.1034,36.1034,36.1034,NOMINAL
60.0000,3.0754,185.0000,568.9540,0.1974,0.2268,87.0989,87.0688,3.0754,36.3585,36.3585,36.3585,36.3585,NOMINAL
60.5000,3.0741,185.0000,568.7152,0.1974,0.2268,87.0627,87.0331,3.0741,36.6125,36.6125,36.6125,36.6125,NOMINAL
61.0000,3.0729,185.0000,568.4897,0.1973,0.2268,87.0264,86.9974,3.0729,36.8656,36.8656,36.8656,36.8656,NOMINAL
61.5000,3.0718,185.0000,568.2766,0.1972,0.2268,86.9902,86.9618,3.0718,37.1176,37.1176,37.1176,37.1176,NOMINAL
62.0000,3.0707,185.0000,568.0753,0.1971,0.2268,86.9540,86.9261,3.0707,37.3686,37.3686,37.3686,37.3686,NOMINAL
62.5000,3.0696,185.0000,567.8851,0.1970,0.2268,86.9178,86.8904,3.0696,37.6187,37.6187,37.6187,37.6187,NOMINAL
63.0000,3.0687,185.0000,567.7051,0.1969,0.2268,86.8816,86.8547,3.0687,37.8677,37.8677,37.8677,37.8677,NOMINAL
63.5000,3.0678,185.0000,567.5349,0.1969,0.2268,86.8454,86.8190,3.0678,38.1157,38.1157,38.1157,38.1157,NOMINAL
64.0000,3.0669,185.0000,567.3737,0.1968,0.2268,86.8092,86.7833,3.0669,38.3628,38.3628,38.3628,38.3628,NOMINAL
64.5000,3.0661,185.0000,567.2211,0.1967,0.2268,86.7731,86.7476,3.0661,38.6088,38.6088,38.6088,38.6088,NOMINAL
65.0000,3.0653,185.0000,567.0765,0.1966,0.2268,86.7369,86.7119,3.0653,38.8539,38.8539,38.8539,38.8539,NOMINAL
65.5000,3.0645,185.0000,566.9394,0.1965,0.2268,86.7007,86.6763,3.0645,39.0980,39.0980,39.0980,39.0980,NOMINAL
66.0000,3.0638,185.0000,566.8093,0.1965,0.2268,86.6646,86.6406,3.0638,39.3411,39.3411,39.3411,39.3411,NOMINAL
66.5000,3.0632,185.0000,566.6858,0.1964,0.2268,86.6285,86.6049,3.0632,39.5832,39.5832,39.5832,39.5832,NOMINAL
67.0000,3.0625,185.0000,566.5685,0.1963,0.2268,86.5923,86.5692,3.0625,39.8244,39.8244,39.8244,39.8244,NOMINAL
67.5000,3.0619,185.0000,566.4570,0.1962,0.2268,86.5562,86.5335,3.0619,40.0646,40.0646,40.0646,40.0646,NOMINAL
68.0000,3.0614,185.0000,566.3509,0.1961,0.2268,86.5201,86.4978,3.0614,40.3039,40.3039,40.3039,40.3039,NOMINAL
68.5000,3.0608,185.0000,566.2498,0.1961,0.2268,86.4840,86.4621,3.0608,40.5422,40.5422,40.5422,40.5422,NOMINAL
69.0000,3.0603,185.0000,566.1535,0.1960,0.2268,86.4479,86.4264,3.0603,40.7795,40.7795,40.7795,40.7795,NOMINAL
69.5000,3.0598,185.0000,566.0617,0.1959,0.2268,86.4118,86.3908,3.0598,41.0159,41.0159,41.0159,41.0159,NOMINAL
70.0000,3.0593,185.0000,565.9740,0.1958,0.2268,86.3757,86.3551,3.0593,41.2514,41.2514,41.2514,41.2514,NOMINAL
70.5000,3.0589,185.0000,565.8902,0.1957,0.2268,86.3396,86.3194,3.0589,41.4859,41.4859,41.4859,41.4859,NOMINAL
71.0000,3.0584,185.0000,565.8100,0.1957,0.2268,86.3035,86.2837,3.0584,41.7194,41.7194,41.7194,41.7194,NOMINAL
71.5000,3.0580,185.0000,565.7332,0.1956,0.2268,86.2674,86.2480,3.0580,41.9521,41.9521,41.9521,41.9521,NOMINAL
72.0000,3.0576,185.0000,565.6596,0.1955,0.2268,86.2314,86.2123,3.0576,42.1838,42.1838,42.1838,42.1838,NOMINAL
72.5000,3.0572,185.0000,565.5890,0.1954,0.2268,86.1953,86.1766,3.0572,42.4146,42.4146,42.4146,42.4146,NOMINAL
73.0000,3.0569,185.0000,565.5211,0.1953,0.2268,86.1592,86.1410,3.0569,42.6444,42.6444,42.6444,42.6444,NOMINAL
73.5000,3.0565,185.0000,565.4558,0.1953,0.2268,86.1232,86.1053,3.0565,42.8733,42.8733,42.8733,42.8733,NOMINAL
74.0000,3.0499,197.0000,596.6615,0.1952,0.2268,86.0844,86.0673,3.0499,43.1379,43.1379,43.1379,43.1379,NOMINAL
74.5000,3.0781,141.0000,436.6953,0.1951,0.2268,86.0572,86.0401,3.0781,43.2507,43.2507,43.2507,43.2507,NOMINAL
75.0000,3.1316,43.0000,138.9348,0.1951,0.2268,86.0490,86.0318,3.1316,43.2198,43.2198,43.2198,43.2198,NOMINAL
75.5000,3.1608,3.0000,12.1628,0.1951,0.2268,86.0485,86.0312,3.1608,43.1743,43.1743,43.1743,43.1743,NOMINAL
76.0000,3.1759,-6.0000,-14.9356,0.1951,0.2268,86.0497,86.0324,3.1759,43.1292,43.1292,43.1292,43.1292,NOMINAL
76.5000,3.1913,-16.0000,-54.2485,0.1951,0.2268,86.0523,86.0354,3.1913,43.0859,43.0859,43.0859,43.0859,NOMINAL
77.0000,3.1911,4.0000,12.7628,0.1951,0.2268,86.0513,86.0347,3.1911,43.0408,43.0408,43.0408,43.0408,NOMINAL
77.5000,3.1994,4.0000,12.7975,0.1951,0.2268,86.0503,86.0339,3.1994,42.9958,42.9958,42.9958,42.9958,NOMINAL
78.0000,3.2071,4.0000,12.8285,0.1951,0.2268,86.0493,86.0331,3.2071,42.9510,42.9510,42.9510,42.9510,NOMINAL
78.5000,3.2144,4.0000,12.8575,0.1951,0.2268,86.0483,86.0324,3.2144,42.9062,42.9062,42.9062,42.9062,NOMINAL
79.0000,3.2211,4.0000,12.8846,0.1951,0.2268,86.0473,86.0316,3.2211,42.8616,42.8616,42.8616,42.8616,NOMINAL
79.5000,3.2275,4.0000,12.9099,0.1951,0.2268,86.0463,86.0308,3.2275,42.8171,42.8171,42.8171,42.8171,NOMINAL
80.0000,3.2334,4.0000,12.9337,0.1951,0.2268,86.0453,86.0300,3.2334,42.7726,42.7726,42.7726,42.7726,NOMINAL
80.5000,3.2390,4.0000,12.9558,0.1951,0.2268,86.0444,86.0293,3.2390,42.7283,42.7283,42.7283,42.7283,NOMINAL
81.0000,3.2441,4.0000,12.9766,0.1951,0.2268,86.0434,86.0285,3.2441,42.6841,42.6841,42.6841,42.6841,NOMINAL
81.5000,3.2490,4.0000,12.9959,0.1951,0.2268,86.0424,86.0277,3.2490,42.6401,42.6401,42.6401,42.6401,NOMINAL
82.0000,3.2535,4.0000,13.0141,0.1951,0.2268,86.0414,86.0270,3.2535,42.5961,42.5961,42.5961,42.5961,NOMINAL
82.5000,3.2578,4.0000,13.0310,0.1951,0.2268,86.0405,86.0262,3.2578,42.5522,42.5522,42.5522,42.5522,NOMINAL
83.0000,3.2617,4.0000,13.0469,0.1951,0.2268,86.0395,86.0254,3.2617,42.5085,42.5085,42.5085,42.5085,NOMINAL
83.5000,3.2654,4.0000,13.0618,0.1951,0.2268,86.0385,86.0246,3.2654,42.4648,42.4648,42.4648,42.4648,NOMINAL
84.0000,3.2689,4.0000,13.0756,0.1951,0.2268,86.0376,86.0239,3.2689,42.4213,42.4213,42.4213,42.4213,NOMINAL
84.5000,3.2722,4.0000,13.0886,0.1951,0.2268,86.0366,86.0231,3.2722,42.3779,42.3779,42.3779,42.3779,NOMINAL
85.0000,3.2752,4.0000,13.1008,0.1951,0.2268,86.0357,86.0223,3.2752,42.3346,42.3346,42.3346,42.3346,NOMINAL
85.5000,3.2780,4.0000,13.1121,0.1951,0.2268,86.0347,86.0216,3.2780,42.2913,42.2913,42.2913,42.2913,NOMINAL
86.0000,3.2807,4.0000,13.1227,0.1951,0.2268,86.0338,86.0208,3.2807,42.2482,42.2482,42.2482,42.2482,NOMINAL
86.5000,3.2832,4.0000,13.1327,0.1951,0.2268,86.0328,86.0200,3.2832,42.2053,42.2053,42.2053,42.2053,NOMINAL
87.0000,3.2855,4.0000,13.1420,0.1951,0.2268,86.0319,86.0192,3.2855,42.1624,42.1624,42.1624,42.1624,NOMINAL
87.5000,3.2877,4.0000,13.1507,0.1951,0.2268,86.0309,86.0185,3.2877,42.1196,42.1196,42.1196,42.1196,NOMINAL
88.0000,3.2897,4.0000,13.1588,0.1951,0.2268,86.0300,86.0177,3.2897,42.0769,42.0769,42.0769,42.0769,NOMINAL
88.5000,3.2916,4.0000,13.1664,0.1950,0.2268,86.0290,86.0169,3.2916,42.0344,42.0344,42.0344,42.0344,NOMINAL
89.0000,3.2934,4.0000,13.1735,0.1950,0.2268,86.0281,86.0161,3.2934,41.9919,41.9919,41.9919,41.9919,NOMINAL
89.5000,3.2950,4.0000,13.1802,0.1950,0.2268,86.0272,86.0154,3.2950,41.9495,41.9495,41.9495,41.9495,NOMINAL
90.0000,3.2966,4.0000,13.1864,0.1950,0.2268,86.0262,86.0146,3.2966,41.9073,41.9073,41.9073,41.9073,NOMINAL
90.5000,3.2981,4.0000,13.1922,0.1950,0.2268,86.0253,86.0138,3.2981,41.8652,41.8652,41.8652,41.8652,NOMINAL
91.0000,3.2994,4.0000,13.1977,0.1950,0.2268,86.0244,86.0131,3.2994,41.8231,41.8231,41.8231,41.8231,NOMINAL
91.5000,3.3007,4.0000,13.2028,0.1950,0.2268,86.0235,86.0123,3.3007,41.7812,41.7812,41.7812,41.7812,NOMINAL
92.0000,3.3019,4.0000,13.2076,0.1950,0.2268,86.0225,86.0115,3.3019,41.7394,41.7394,41.7394,41.7394,NOMINAL
92.5000,3.3030,4.0000,13.2120,0.1950,0.2268,86.0216,86.0107,3.3030,41.6976,41.6976,41.6976,41.6976,NOMINAL
93.0000,3.3040,4.0000,13.2162,0.1950,0.2268,86.0207,86.0100,3.3040,41.6560,41.6560,41.6560,41.6560,NOMINAL
93.5000,3.3050,4.0000,13.2201,0.1950,0.2268,86.0198,86.0092,3.3050,41.6145,41.6145,41.6145,41.6145,NOMINAL
94.0000,3.3059,4.0000,13.2237,0.1950,0.2268,86.0189,86.0084,3.3059,41.5731,41.5731,41.5731,41.5731,NOMINAL
94.5000,3.3068,4.0000,13.2271,0.1950,0.2268,86.0179,86.0077,3.3068,41.5318,41.5318,41.5318,41.5318,NOMINAL
95.0000,3.3076,4.0000,13.2303,0.1950,0.2268,86.0170,86.0069,3.3076,41.4906,41.4906,41.4906,41.4906,NOMINAL
